Top 40 Sort By Count
 Count     Total    Mean  Stddev    Min  P50.0  P90.0  P95.0  P99.0    Max     2xx  3xx   4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
   195    16.239  0.0833  0.0399  0.000  0.066  0.149  0.173  0.183  0.225     191    0     4    0       23273         15        119        141  POST /api/isu HTTP/2.0
    79     0.145  0.0018  0.0042  0.000  0.001  0.005  0.007  0.034  0.034       0    0    79    0        1343         17         17         17  GET /api/isu/<uuid>/graph HTTP/2.0
    78     0.171  0.0022  0.0039  0.000  0.001  0.006  0.010  0.027  0.027       0    0    78    0        1872         24         24         24  GET /api/condition/<uuid>?end_time=* HTTP/2.0
    78     0.133  0.0017  0.0036  0.000  0.001  0.004  0.006  0.023  0.023       0    0    78    0        1560         20         20         20  GET /api/condition/<uuid>?condition_level=* HTTP/2.0
     6     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000  0.000       6    0     0    0        3168        528        528        528  GET /isu/<uuid>/condition HTTP/2.0
     6     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000  0.000       6    0     0    0        3168        528        528        528  GET /isu/<uuid> HTTP/2.0
     6     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000  0.000       6    0     0    0        3168        528        528        528  GET /isu/<uuid>/graph HTTP/2.0
     1     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000  0.000       1    0     0    0         528        528        528        528  GET /register HTTP/2.0
     1     0.417  0.4170  0.0000  0.417  0.417  0.417  0.417  0.417  0.417       1    0     0    0          18         18         18         18  POST /initialize HTTP/2.0

Top 40 Sort By Total
 Count     Total    Mean  Stddev    Min  P50.0  P90.0  P95.0  P99.0    Max     2xx  3xx   4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
135881  1014.520  0.0075  0.0194  0.000  0.002  0.014  0.030  0.101  0.196  131375    0  4506    0        1386          0          0         14  POST /api/condition/<uuid> HTTP/2.0
  4747   252.824  0.0533  0.1929  0.000  0.000  0.007  0.461  1.000  1.006    4689    0    58    0    30059409          0       6332       9807  GET /api/trend HTTP/2.0
 50074   252.728  0.0050  0.0082  0.000  0.003  0.011  0.017  0.040  0.210   49748    0   326    0   254220386          0       5076       6282  GET /api/condition/<uuid>?condition_level=*&end_time=* HTTP/2.0
  8614    70.015  0.0081  0.0122  0.000  0.005  0.016  0.023  0.058  0.237    8528    0    86    0    17593254          0       2042       3747  GET /api/isu HTTP/2.0
  7420    66.756  0.0090  0.0101  0.000  0.007  0.018  0.024  0.053  0.150    7104    0   316    0    61860125          0       8336      11967  GET /api/isu/<uuid>/graph?datetime=* HTTP/2.0
  8966    22.408  0.0025  0.0038  0.000  0.001  0.005  0.008  0.018  0.060    8729    0   237    0   175583304         14      19583     114887  GET /api/isu/<uuid>/icon HTTP/2.0
  8540    18.329  0.0021  0.0039  0.000  0.001  0.005  0.007  0.017  0.098    8303    0   237    0     1014010         14        118        141  GET /api/isu/<uuid> HTTP/2.0
   195    16.239  0.0833  0.0399  0.000  0.066  0.149  0.173  0.183  0.225     191    0     4    0       23273         15        119        141  POST /api/isu HTTP/2.0
